Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
003_edit staff,Chrome 73.0.3683.75,\u7F16\u8F91\u7528\u6237,2019-04-17 12:37:00,2019-04-17 12:37:56,56.021s,FAILED
,,,,,,
Test Cases/001_Login_Home/002_Login,Chrome 73.0.3683.75,登录（记住密码）,2019-04-17 12:37:00,2019-04-17 12:37:14,13.707s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 73.0.3683.75,,2019-04-17 12:37:00,2019-04-17 12:37:00,0.014s,PASSED
callTestCase,Chrome 73.0.3683.75,,2019-04-17 12:37:01,2019-04-17 12:37:08,6.574s,PASSED
delay,Chrome 73.0.3683.75,,2019-04-17 12:37:08,2019-04-17 12:37:09,1.008s,PASSED
setText,Chrome 73.0.3683.75,,2019-04-17 12:37:09,2019-04-17 12:37:09,0.169s,PASSED
delay,Chrome 73.0.3683.75,,2019-04-17 12:37:09,2019-04-17 12:37:10,1.006s,PASSED
setText,Chrome 73.0.3683.75,,2019-04-17 12:37:10,2019-04-17 12:37:10,0.170s,PASSED
delay,Chrome 73.0.3683.75,,2019-04-17 12:37:10,2019-04-17 12:37:11,1.004s,PASSED
"Statement - R = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementChecked(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Login/remember_password), 10)",Chrome 73.0.3683.75,,2019-04-17 12:37:11,2019-04-17 12:37:11,0.065s,PASSED
Statement - If (R),Chrome 73.0.3683.75,,2019-04-17 12:37:11,2019-04-17 12:37:11,0.007s,PASSED
click,Chrome 73.0.3683.75,,2019-04-17 12:37:11,2019-04-17 12:37:11,0.113s,PASSED
"Statement - a = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementPresent(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(homepage/a_homepage), 40)",Chrome 73.0.3683.75,,2019-04-17 12:37:11,2019-04-17 12:37:12,0.609s,PASSED
Statement - If (a),Chrome 73.0.3683.75,,2019-04-17 12:37:12,2019-04-17 12:37:12,0.305s,PASSED
Start listener action : sampleAfterTestCase,Chrome 73.0.3683.75,,2019-04-17 12:37:12,2019-04-17 12:37:12,0.005s,PASSED
,,,,,,
"Test Cases/002_System_,Manage/001_User_Manage/001_Enter_User",Chrome 73.0.3683.75,从系统设置进入人员管理,2019-04-17 12:37:14,2019-04-17 12:37:29,14.700s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 73.0.3683.75,,2019-04-17 12:37:14,2019-04-17 12:37:14,0.006s,PASSED
callTestCase,Chrome 73.0.3683.75,,2019-04-17 12:37:14,2019-04-17 12:37:23,8.812s,PASSED
delay,Chrome 73.0.3683.75,,2019-04-17 12:37:23,2019-04-17 12:37:24,1.003s,PASSED
click,Chrome 73.0.3683.75,,2019-04-17 12:37:24,2019-04-17 12:37:24,0.137s,PASSED
delay,Chrome 73.0.3683.75,,2019-04-17 12:37:24,2019-04-17 12:37:25,1.002s,PASSED
click,Chrome 73.0.3683.75,,2019-04-17 12:37:25,2019-04-17 12:37:26,0.330s,PASSED
delay,Chrome 73.0.3683.75,,2019-04-17 12:37:26,2019-04-17 12:37:27,1.003s,PASSED
"Statement - verify_user = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementPresent(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Syetem_settings/User_Manage/cite_usertable), 0)",Chrome 73.0.3683.75,,2019-04-17 12:37:27,2019-04-17 12:37:27,0.036s,PASSED
Statement - If (verify_user),Chrome 73.0.3683.75,,2019-04-17 12:37:27,2019-04-17 12:37:27,0.003s,PASSED
Start listener action : sampleAfterTestCase,Chrome 73.0.3683.75,,2019-04-17 12:37:27,2019-04-17 12:37:27,0.003s,PASSED
,,,,,,
"Test Cases/002_System_,Manage/001_User_Manage/009_check_userEditpage",Chrome 73.0.3683.75,1.打开编辑窗口，检查列表中的数据与编辑页面数据一致。,2019-04-17 12:37:29,2019-04-17 12:37:47,18.190s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 73.0.3683.75,,2019-04-17 12:37:29,2019-04-17 12:37:29,0.003s,PASSED
callTestCase,Chrome 73.0.3683.75,,2019-04-17 12:37:29,2019-04-17 12:37:29,0.016s,NOT_RUN
setText,Chrome 73.0.3683.75,,2019-04-17 12:37:29,2019-04-17 12:37:29,0.153s,PASSED
delay,Chrome 73.0.3683.75,,2019-04-17 12:37:29,2019-04-17 12:37:30,1.003s,PASSED
click,Chrome 73.0.3683.75,,2019-04-17 12:37:30,2019-04-17 12:37:31,0.268s,PASSED
delay,Chrome 73.0.3683.75,,2019-04-17 12:37:31,2019-04-17 12:37:32,1.001s,PASSED
Statement - i = 1,Chrome 73.0.3683.75,,2019-04-17 12:37:32,2019-04-17 12:37:32,0.032s,PASSED
Statement - userinfo = [],Chrome 73.0.3683.75,,2019-04-17 12:37:32,2019-04-17 12:37:32,0.001s,PASSED
"Statement - For ([j = 1, j <= 5, (j++)])",Chrome 73.0.3683.75,,2019-04-17 12:37:32,2019-04-17 12:37:34,1.877s,PASSED
click,Chrome 73.0.3683.75,,2019-04-17 12:37:34,2019-04-17 12:37:34,0.177s,PASSED
delay,Chrome 73.0.3683.75,,2019-04-17 12:37:34,2019-04-17 12:37:44,10.004s,PASSED
Statement - userdetail = [],Chrome 73.0.3683.75,,2019-04-17 12:37:44,2019-04-17 12:37:44,0.002s,PASSED
Statement - name = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Syetem_settings/User_Manage/Edit_user_info/input_  _realname),Chrome 73.0.3683.75,,2019-04-17 12:37:44,2019-04-17 12:37:44,0.024s,PASSED
Statement - position = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Syetem_settings/User_Manage/Edit_user_info/input_  _position),Chrome 73.0.3683.75,,2019-04-17 12:37:44,2019-04-17 12:37:44,0.019s,PASSED
Statement - mobile = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Syetem_settings/User_Manage/Edit_user_info/input_  _mobile),Chrome 73.0.3683.75,,2019-04-17 12:37:44,2019-04-17 12:37:44,0.007s,PASSED
Statement - email = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Syetem_settings/User_Manage/Edit_user_info/input_  _email),Chrome 73.0.3683.75,,2019-04-17 12:37:44,2019-04-17 12:37:44,0.012s,PASSED
"Statement - element1 = com.kms.katalon.core.webui.common.WebUiCommonHelper.findWebElement(name, 30)",Chrome 73.0.3683.75,,2019-04-17 12:37:44,2019-04-17 12:37:44,0.083s,PASSED
"Statement - element2 = com.kms.katalon.core.webui.common.WebUiCommonHelper.findWebElement(position, 30)",Chrome 73.0.3683.75,,2019-04-17 12:37:44,2019-04-17 12:37:44,0.024s,PASSED
"Statement - element3 = com.kms.katalon.core.webui.common.WebUiCommonHelper.findWebElement(mobile, 30)",Chrome 73.0.3683.75,,2019-04-17 12:37:44,2019-04-17 12:37:44,0.063s,PASSED
"Statement - element4 = com.kms.katalon.core.webui.common.WebUiCommonHelper.findWebElement(email, 30)",Chrome 73.0.3683.75,,2019-04-17 12:37:44,2019-04-17 12:37:44,0.025s,PASSED
Statement - driver = com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver(),Chrome 73.0.3683.75,,2019-04-17 12:37:44,2019-04-17 12:37:44,0.042s,PASSED
Statement - js = driver,Chrome 73.0.3683.75,,2019-04-17 12:37:44,2019-04-17 12:37:44,0.040s,PASSED
"Statement - value1 = js.executeScript(""return arguments[0].value"", element1).toString()",Chrome 73.0.3683.75,,2019-04-17 12:37:44,2019-04-17 12:37:44,0.010s,PASSED
Statement - userdetail.add(value1),Chrome 73.0.3683.75,,2019-04-17 12:37:44,2019-04-17 12:37:44,0.001s,PASSED
